pdb_id,bmrb_ids
2jvd,15476
2jvx,15499
2jvy,15500
2jw1,15504
2jwg,15753
2jwh,15752
2jws,15535
2jwu,15537
2jx8,15550
2jxc,15554
2jxf,15559
2jy0,15579
2jy7,15591
2jy8,15592
2jzi,15624
2k03,15635
2k04,15636
2k05,15637
2k0b,15591
2k10,15665
2k17,15671
2k1k,15728
2k29,15691
2k2f,15704
2k2y,15730
2k2z,15731
2k38,17015
2k3c,15747
2k3u,15778
2k42,16824
2k4x,15811
2k6i,15870
2k6o,15876
2k6q,15877
2k6r,15879
2k6s,15880
2k6t,16901
2k6u,16968
2k72,15900
2k76,15946
2k7l,15919
2k8f,15944
2k8j,15951
2k8x,15965
2k91,16027
2k9e,15983
2k9i,15987
2k9j,16497
2k9o,15992
2k9u,16002
2k9y,16005
2ka1,16012
2ka4,16014
2ka6,16015
2kad,16020
2kae,16812
2kak,16025
2kam,16028
2kb9,16857
2kbl,16090
2kbm,16050
2kbv,16056
2kc6,16062
2kc8,16065
2kcg,16073
2kch,16074
2kcn,16087
2kdl,16116
2kdm,16117
2kdr,16122
2ke1,16510
2keg,16148
2keh,16149
2kel,16153
2kes,16156
2kfe,16178
2kff,16179
2kfg,16180
2kfh,16181
2kfq,16187
2kft,16878
2kg0,16193
2kg1,16194
2kgg,16209
2kgi,16210
2kh9,16230;16243;16244;16246
2khb,16235
2khf,16239
2khg,16241
2khk,16247
2khs,15357
2kht,16254
2ki9,16268
2kib,20074
2kid,16270
2kio,16284
2kit,16295
2kj4,16311
2kje,16318
2kjn,16332
2kjo,16333
2kk7,16354
2kkd,15375;16849
2kke,16357
2klw,16400
2klz,16405
2km8,16425
2kmj,16431
2kmo,16436
2kmp,16437;16438
2kmu,16544
2kmz,17237
2kn1,17252
2kn7,16449
2knc,16496
2kne,16465
2kng,16831
2knh,16467
2kni,16468
2knu,16477
2knx,16482
2knz,16484
2ko0,16485
2koe,16504
2koh,16507
2koz,16539
2kp0,16540
2kpa,16550
2kpb,16551
2kpi,16556
2kpl,16559
2kpz,16574
2kq0,16575
2kq5,16589
2kql,16605
2kqq,16663
2kqt,16612
2kri,16639
2krm,16641
2ks9,16660;20115
2ksa,20116
2ksb,20117
2ksg,16817
2ksp,16671
2kt5,16683
2ktb,16694
2ktc,16693
2kus,16745
2kuy,16747
2kv4,16768
2kvh,16797
2kvm,16778
2kwf,16851
2kwh,15524
2kwn,16861
2kwo,16865
2kwt,16886
2kwu,16880
2kwv,16885
2kwz,16892
2kx5,16941
2kxa,16907
2kxc,16909
2kxk,16915
2kxn,16920
2kxq,16923
2ky3,17227
2ky5,16935
2ky8,16936
2kya,16943
2kyg,16954
2kyj,16963
2kyl,16967
2kym,16970
2kyq,16978
2kza,17001
2kzq,17011
2kzu,17019
2l07,17032
2l0e,17040
2l0i,17044
2l11,17071
2l12,17072
2l14,17073
2l1b,17079
2l1c,17080
2l1j,17086
2l1o,17091
2l1r,17103
2l1y,17107
2l1z,17108
2l2l,17138
2l2r,17152
2l2w,17153
2l2x,17154
2l2y,17155
2l2z,17156
2l3h,17193
2l3i,17194
2l3r,17200
2l44,17228
2l45,17229
2l4g,17240
2l4j,17241
2l4t,17255
2l4u,17256
2l53,17264
2l5d,17273
2l5e,17270
2l5g,17271
2l5r,17281
2l60,17291
2l61,17294
2l62,17295
2l63,17296
2l64,17297
2l6e,17307
2l6j,17312
2l70,17330
2l71,17331
2l75,17344
2l77,17346
2l79,17347
2l7c,17356
2l7h,6822
2l7l,17360
2l7t,17377
2l7u,17378
2l86,17394
2l87,17395
2l8e,17396
2l8j,17412
2l8s,17424
2l8x,17430
2l91,17433
2l92,17434
2l93,17435
2l96,17438
2l99,17441
2l9a,17442
2l9b,17161
2l9g,17450
2l9i,17458
2l9s,17485
2l9u,17488
2l9x,17492
2l9z,17494
2la0,17495
2la2,17500
2la5,17504
2laj,17529
2lam,17531
2laq,17533
2las,17536
2lat,17537
2law,17538
2lax,17539
2lay,17540
2laz,17541
2lb0,17542
2lb1,17543
2lb2,17544
2lb3,17545
2lb7,17547
2lbg,17558
2lbm,17569
2lbs,17574
2lbz,17583
2lcm,17617
2lcn,17618
2lco,17619
2lcs,17629
2lct,17632
2lcx,7205
2lcy,17638
2lcz,17639
2ld0,17642
2ld2,17644
2ld5,16577
2lda,17657
2ldc,17658
2ldd,17659
2lde,17661
2ldf,17662
2ldj,17669
2lds,17681
2le2,17689
2le3,17690
2le7,17699
2le8,17702
2leb,17706
2lec,17707
2lef,4248
2leh,17711
2ler,17726
2leu,4507
2lev,17729
2lew,17731
2lex,17732
2ley,17733
2lfk,17763
2lfl,17779
2lfm,17764
2lg4,17792
2lg5,17797
2lg6,17798
2lgb,17803
2lgf,17807
2lgg,17808
2lgi,17810
2lgk,17812
2lhc,17839
2lhd,17840
2lhe,17841
2lhg,17843
2lhv,17868
2lhw,17869
2lhx,17870
2lhy,17871
2lhz,17872
2li0,17873
2li1,17874
2li2,17875
2li5,17879
2li8,17883
2li9,17884
2lic,17888
2lid,17889
2lif,17891
2lix,17908
2liy,11452
2lj7,17923
2ljb,17928
2ljc,17929
2ljq,17955
2ljs,17956
2ljt,17958
2lk0,17969
2lk1,17970
2lk5,17979
2lk6,17997
2lk9,17985
2lkj,17990
2lkm,18000
2lkq,18009
2lks,18010
2lkw,18014
2lkx,18015
2ll1,18019
2ll2,18022
2ll5,18023
2ll6,18027
2ll7,18028
2lld,18043
2llm,18080
2llo,18082
2llp,18083
2llq,18084
2llr,18085
2lm8,18102
2lma,17584
2lmb,18110
2lmf,18114
2lmn,18127
2lmo,18128
2lmp,18129
2lmq,18131
2lmz,18141
2ln4,18146
2lne,18162
2lnf,18163
2lng,18164
2lnh,18165
2lnk,18169
2lnq,18175
2lnw,18182
2lny,18184
2lo2,18191
2lo3,18192
2lo4,18195
2lo6,17173
2lo7,17987
2lo9,18203
2lob,18205
2loc,18206
2lox,18229
2loz,17364
2lp0,17407
2lp8,18238
2lpb,18244
2lpf,18256
2lq0,18284
2lq1,18286
2lq2,18289
2lqa,18300
2lqc,18302
2lqh,18314
2lqi,18315
2lqx,18334
2lqy,18335
2lr1,18340
2lr3,18345
2lr5,18347
2lr7,18350
2lr9,18354
2lrx,18400
2ls1,18405
2ls2,18408
2ls3,18409
2ls4,18410
2ls9,18418
2lsa,18420
2lsi,18432
2lsj,18433
2lsk,18434
2lsp,18439
2lsq,18440
2lsr,18441
2lsv,18447
2lsw,18449
2lt7,18462
2lt8,18463
2lti,18481
2lto,18490
2ltt,18496
2ltv,18498
2ltw,18499
2ltx,18500
2lty,18501
2ltz,18502
2lu6,18510
2lu9,18513
2lua,18514
2lue,18518
2luf,18519
2lug,18520
2lum,18531
2lup,18534
2lur,18536
2luv,18542
2lv6,18556
2lvg,18568
2lvm,18579
2lvn,18581
2lvo,18582
2lvp,18583
2lvq,18584
2lw9,18614
2lwa,18617
2lwb,18618
2lwc,18619
2lwl,18634
2lwq,18641
2lws,18643
2lwt,18644
2lwu,18645
2lwz,18654
2lx0,18655
2lx4,18658
2lx5,18659
2lx6,18661
2lxg,20048
2lxo,18684
2lxp,18688
2lxs,18694
2lxt,18695
2lxw,18700
2lxz,18705
2ly0,18706
2ly5,16215
2ly6,18710
2lyd,18720
2lye,18722
2lyf,18723
2lz3,18649
2lz4,18648
2lz5,18736
2lzi,18757
2lzl,18763
2lzo,18766
2lzp,18768
2lzq,18769
2lzr,18770
2lzs,18771
2lzx,18783
2lzy,18784
2m04,18793
2m0b,18804
2m0h,18809
2m0j,17771
2m0k,17771
2m0o,18813
2m0p,18816
2m0s,18822
2m0u,18825
2m0v,18826
2m0w,18830
2m14,18842
2m1a,18852
2m1d,18858
2m1e,18859
2m1f,18861
2m1j,18865
2m1p,18875
2m1t,18879
2m2g,18913
2m2h,18914
2m2m,18921
2m2n,18923
2m2o,18924
2m2p,18925
2m2q,18926
2m2s,18931
2m2w,18935
2m2x,18937
2m2y,18938
2m32,18942
2m35,18945
2m36,18946
2m37,18948
2m3b,18952
2m3e,18958
2m3f,18959
2m3i,18964
2m3j,18965
2m3m,17942
2m3n,18970
2m3o,18971
2m3z,18980
2m41,18982
2m4j,19009
2m4x,19026
2m4y,19027
2m4z,19030
2m50,19032
2m55,19036
2m59,19041
2m5a,19043
2m5b,19045
2m5e,19050
2m5f,19052
2m5k,19058
2m5l,19059
2m5m,19060
2m5n,19062
2m5p,19070
2m5q,19071
2m5x,19085
2m5z,19094
2m60,19101
2m61,19102
2m62,19103
2m6a,19124
2m6c,19128
2m6d,19129
2m6e,19130
2m6f,19131
2m6g,19132
2m6h,19133
2m6j,19142
2m6o,19148
2m6p,19149
2m73,19170
2m76,19174
2m77,19175
2m78,19176
2m79,19177
2m7c,19180
2m7d,19183
2m7e,19184
2m7i,19190
2m7j,19192
2m7p,19200
2m7r,19202
2m7t,19205
2m7x,19216
2m86,19230
2m8b,19237
2m8d,19248
2m8e,19249
2m8f,19250
2m8i,19258
2m8j,19259
2m8m,19262
2m8o,19263
2m8s,18416
2m8v,19275
2m96,19283
2m99,19287
2m9e,19291
2m9f,19292
2m9i,19295
2m9j,19296
2m9l,19300
2m9o,19304
2m9p,19305
2m9q,19306
2m9r,19309
2ma9,19333
2maa,19334
2mae,19342
2mai,19355
2mak,19363
2map,19367
2mau,19374
2mb0,19382
2mb1,19383
2mbd,19396
2mbh,19399
2mby,19416
2mbz,19421
2mc0,19422
2mc1,19423
2mc6,19429
2mc7,19430
2mce,19437
2mcr,19450
2mcu,19454
2mcv,19455
2mcw,19456
2mcx,19457
2md0,19460
2md1,19468
2md2,19469
2md3,19470
2md4,19471
2md6,19476
2md7,19472
2md8,19473
2mdb,11538
2mdc,19483
2mdf,19484
2mdg,19486
2mdi,19487
2mdj,19488
2mdl,18363
2mdq,19501
2mdu,19503
2mdv,19504
2mdw,19505
2me1,19512
2me2,19513
2me3,19514
2me4,19515
2me7,19519
2mel,19524
2men,19527
2meo,19528
2met,19531
2meu,19532
2mf3,19535
2mf8,19540
2mfa,19542
2mfc,19544
2mfe,19546
2mff,19547
2mfg,19548
2mfh,19549
2mfm,19555
2mfo,19556
2mfp,19557
